License_Number,Name,Date_of_Birth,Father_Name,Citizenship_Number,Phone_Number
76-58-90008053,Rajan Gurung,01-05-1978,Saroj Magar,70-77-25-39648,978783591
42-20-53877658,Dipesh Ghimire,14-01-1992,Sunil Sapkota,79-93-62-11727,975193931
94-63-96060625,Anita Karki,24-07-1996,Suman Pradhan,89-74-19-13176,974623211
85-78-44942690,Bimala Khatri,23-04-1996,Roshan Dahal,26-87-46-27446,989489885
96-96-73502273,Maheshwar Poudel,22-11-1983,Sandeep Pokhrel,25-57-45-44627,974496857
13-03-61070550,Jitendra Pokhrel,18-10-2004,Hari KC,20-32-25-58444,983361827
88-99-80585458,Bishnu Rijal,03-08-1974,Santosh Devkota,49-32-37-89589,978234938
88-99-80585458,Rajan Adhikari,18-12-1981,Jitendra Gurung,07-77-83-37792,986475589
64-60-51880655,Milan Rijal,08-05-1970,Arjun KC,38-76-46-56079,978783591
86-82-27196580,Sabina Karki,17-01-1971,Saroj Rai,88-16-09-84876,988181007
07-71-49008338,Nirmala Tamang,26-02-2003,Narendra Thapa,81-62-65-85332,976900508
44-87-70407021,Sabina Poudyal,30-09-1977,Prabin Khatiwada,94-12-68-23141,977452382
28-90-19097466,Pawan Bista,03-08-1974,Pawan Subedi,44-83-52-38030,978830235
83-55-91449968,Bishnu Khatiwada,28-01-1989,Pradeep Shrestha,72-15-99-92930,981294086
54-97-27937540,Shiva Rijal,04-11-1988,Naren Bajracharya,61-91-36-95075,977266684
32-29-90885405,Bishnu Khatiwada,15-12-1985,Sunil Poudel,66-07-85-74731,983946247
17-85-50430633,Manisha Pokhrel,12-07-2003,Bibek Thapa,13-69-81-17800,976029199
80-13-31324484,Manisha Thapa,30-10-1992,Pradeep Acharya,97-80-89-46885,977916738
68-63-47949932,Maya Khatri,01-05-1978,Ashok Aryal,95-32-80-10362,976029199
56-11-62395987,Santosh Regmi,22-11-1983,Pradeep Regmi,56-53-74-31411,975643717
15-05-77947794,Sneha Shrestha,04-05-1995,Shyam Dhamala,75-43-19-04687,981725924
94-63-96060625,Bikash Basnet,14-12-1987,Hari Acharya,70-43-38-90867,974210848
11-00-93603530,Maya Shrestha,03-03-1974,Arjun Bhusal,67-21-52-48297,988189379
15-40-14109978,Naren Khatri,23-10-1982,Suresh Basnet,15-82-64-03965,984388791
96-63-99806231,Rajan Bhusal,18-11-1991,Pradeep Bhandari,43-38-14-90589,973455652
08-73-94613065,Krishna Tamang,15-08-1990,Roshan Dahal,49-32-37-89589,977023159
29-44-77579421,Dinesh Khatiwada,16-06-2003,Bikash Panta,30-23-03-93593,983244168
69-84-48830244,Sneha Basnet,27-10-1985,Hari Bhattarai,29-34-47-62452,971759718
89-11-24924135,Ranju Subedi,18-10-1994,Kiran Ghimire,15-03-01-94815,989295309
78-21-40693915,Niraj Poudel,15-06-1971,Narendra Dahal,95-98-12-03554,977955270
81-78-20723312,Anita Khatri,26-03-2001,Shiva Rai,62-67-10-56326,972088437
23-00-49898672,Milan Chhetri,30-06-1988,Bishnu Shrestha,12-04-41-87497,987151560
52-74-14484087,Saroj Bhattarai,28-01-1995,Shiva Gurung,12-48-65-01635,976689113
77-15-80546486,Ranju Subedi,26-04-1985,Shyam Dahal,27-19-78-29412,979480412
08-78-54948958,Sushila Sharma,09-02-1976,Ramesh Panta,30-40-93-03939,981128727
29-74-54998290,Kavita Sharma,15-06-1971,Niraj Bajracharya,25-35-97-57625,971837532
00-94-18832623,Suresh Neupane,04-03-1979,Ashok Chhetri,05-90-34-24436,985215634
77-84-43411447,Arjun Devkota,03-09-1976,Ramesh Basnet,40-51-88-08537,976900508
79-06-84246678,Saroj Acharya,11-06-1984,Pradeep Bhandari,53-08-99-51079,971572387
80-13-31324484,Maya Dahal,24-02-1974,Krishna Neupane,25-74-45-37423,989970053
97-74-97619388,Anita Bhusal,18-10-1982,Shiva Regmi,38-77-02-29920,976689113
83-02-48548429,Radha Ghimire,26-04-1985,Ram Bhusal,08-59-38-00005,976734361
57-20-17450552,Manisha Poudyal,13-09-1970,Niraj Gyawali,05-99-18-85330,971690265
73-08-56729353,Santosh Thapa,15-12-1993,Suman Pradhan,40-51-88-08537,973917828
15-79-70586184,Deepak Rai,22-01-1977,Milan Basnet,40-47-70-43892,982197530
39-98-50310958,Naren Khatiwada,27-06-1997,Sandeep Devkota,95-33-08-81397,986055624
32-53-16245980,Komal Pradhan,26-09-1998,Milan Rijal,09-34-16-39246,989107602
12-34-75958109,Rabin Bhusal,14-09-2004,Bijay Karki,13-06-22-43980,982841909
08-78-54948958,Shiva Bhattarai,08-01-2006,Ganesh Acharya,56-94-83-07919,985265403
23-34-95392925,Pratima Devkota,22-04-2002,Suren Dahal,04-21-75-13176,986673580
19-07-63880810,Prabin Gyawali,21-06-1986,Bibek Subedi,12-10-63-76853,974817987
78-06-77554662,Sita Basnet,21-06-1997,Roshan Tamang,52-51-75-72852,971429200
33-74-86553252,Niraj Adhikari,28-11-1974,Dinesh Bajracharya,33-02-56-40898,978531318
22-86-31410176,Arjun Poudyal,20-08-1987,Pawan Sharma,98-90-50-94717,981570330
99-71-40548130,Komal Ghimire,13-04-1981,Anil Thapa,21-26-08-44021,976404861
36-70-66902759,Ganesh Aryal,10-12-1977,Narendra Magar,28-72-19-28096,983245302
02-42-74928437,Rekha Pandey,19-07-1987,Shiva Gyawali,00-99-45-53473,982196415
89-24-74985385,Ganesh Regmi,01-03-1979,Dinesh Khatiwada,53-08-99-51079,979745231
09-34-99766195,Ganesh Regmi,29-10-1987,Narendra Magar,54-63-03-60439,986322306
76-52-99448960,Komal Rai,02-10-1986,Naren Shrestha,42-59-35-39919,982149113
01-18-22823990,Sabina Bista,06-09-1995,Santosh Devkota,22-61-04-69504,981114101
17-93-50491643,Sita Acharya,24-09-1998,Pradeep Shrestha,86-18-19-72078,988336300
70-80-32831934,Hari Acharya,03-04-1983,Naren Subedi,89-25-15-22226,974404439
76-52-99448960,Bikash Basnet,21-12-1988,Shyam Subedi,69-31-15-41748,989347346
68-63-47949932,Sandeep Devkota,15-08-1990,Manish Poudel,33-02-56-40898,975643717
04-09-69807857,Santoshi Bhattarai,11-06-2000,Anil Thapa,92-32-42-06440,976404861
51-23-54695394,Manisha Devkota,25-05-1973,Sandeep Bhandari,37-05-75-25051,982146642
93-87-60884161,Komal Khatiwada,03-05-1986,Suren Dahal,54-38-92-70445,976308079
32-29-90885405,Krishna Neupane,25-03-1971,Rajan Rijal,77-84-36-61595,974837586
02-19-26333555,Anil Pokhrel,01-05-1997,Hari Devkota,52-23-62-39694,976852378
77-84-43411447,Ganesh Bista,28-03-1988,Arjun Ghimire,19-63-92-72308,976867689
22-86-31410176,Gauri Bajracharya,29-09-1994,Jitendra KC,43-38-14-90589,972161538
70-80-32831934,Mina Neupane,05-11-1995,Ganesh Panta,62-67-10-56326,973976777
53-05-59959038,Bishnu Regmi,26-11-2003,Prashant Gurung,46-26-92-12033,972485863
71-47-95996032,Pradeep Pokhrel,09-04-1974,Sandeep Pradhan,23-63-32-83542,976366487
98-62-99869272,Anita Pradhan,06-06-2004,Saroj Bhattarai,71-50-82-61318,979819576
07-30-25020558,Hari Devkota,20-08-2000,Niraj Dahal,08-78-77-05007,989347346
59-87-64281913,Prabha Pradhan,25-04-1994,Jitendra Sharma,26-87-46-27446,977058066
09-77-45758731,Pawan Sharma,15-12-1985,Bijay Aryal,25-95-32-12662,988086860
63-15-70370553,Sanjita Dahal,28-08-1984,Shiva Gyawali,38-74-64-48461,977131737
79-12-20538459,Maya Khatri,11-06-1984,Prabin Gyawali,74-73-01-52251,987160457
10-93-26649255,Sarita Panta,02-05-1977,Arjun Ghimire,36-50-51-64820,985390979
95-84-59245404,Bimala Bhattarai,24-08-1974,Bijay Poudyal,93-84-88-17886,986608293
66-22-28422221,Bimal Ghimire,11-10-1971,Milan Poudyal,48-51-58-60312,987160457
23-34-95392925,Suresh Poudel,26-05-2003,Bijay Poudyal,39-02-50-92282,977838840
93-87-60884161,Sita Subedi,01-04-1995,Dinesh Tamang,05-90-34-24436,974986364
72-80-77660281,Sunil Poudel,24-10-2006,Ramesh Acharya,95-41-23-13009,983244168
05-55-44016426,Pooja Rai,25-02-1972,Manish Bista,78-94-74-66385,978387742
87-20-26919861,Sunil Timilsina,24-09-1998,Hari Pokhrel,12-59-17-38504,971834552
28-49-26819815,Sunita Panta,28-04-2002,Prashant Bhattarai,92-87-62-14038,986673580
17-93-50491643,Nisha Khatri,30-06-2005,Naren Khatiwada,71-29-17-40613,972872600
77-15-80546486,Rupa Tamang,17-05-1995,Roshan Bista,02-55-92-18133,982697264
86-91-84659935,Suman Acharya,05-11-1995,Jitendra Gurung,89-05-67-48307,982028852
26-68-16684443,Rupa Aryal,27-07-1979,Pawan Bajracharya,11-17-47-37446,981158609
59-94-50367738,Santoshi Khatiwada,27-11-1991,Sandeep Chhetri,64-34-41-41550,972403210
83-39-61644903,Lila Bhandari,22-04-1990,Kiran Dhamala,22-93-49-37218,974210848
17-75-58586896,Sumitra Devkota,10-12-2003,Kiran Neupane,33-02-56-40898,981294086
56-11-62395987,Suresh Poudel,22-01-1972,Prashant Subedi,06-80-79-17212,986009003
43-69-97422911,Kalpana Neupane,02-10-2002,Sandeep Bhandari,86-89-69-26296,986416879
30-95-42199016,Bishnu Khatri,05-11-1995,Rabin Bajracharya,40-51-88-08537,977436802
26-57-34382723,Niraj Gyawali,21-04-1987,Suman Thapa,83-99-77-90200,978259540
56-52-42459639,Nisha Timilsina,14-03-1985,Dipesh Dahal,12-34-88-55700,974476144
18-04-41835914,Prativa Shrestha,21-03-2002,Naren Bajracharya,04-83-97-18775,975193931
05-25-16788223,Pawan Sharma,22-11-1983,Maheshwar Gurung,28-84-21-55826,989933757
69-44-74254611,Pawan Rai,18-08-1972,Niraj Gurung,88-80-38-75930,983317467
71-47-95996032,Suresh Khatiwada,25-09-1998,Kiran Poudyal,13-06-22-43980,977042213
41-62-31088306,Bishnu Shrestha,15-05-1986,Prabin Pradhan,00-99-45-53473,971429200
46-65-36417017,Susmita Gyawali,02-08-1974,Deepak Subedi,95-98-12-03554,987160457
99-26-72642298,Suman Pokhrel,25-09-1998,Hari Acharya,10-78-15-96794,982193927
23-34-95392925,Roshan Shrestha,27-07-1979,Maheshwar Bhandari,22-61-04-69504,973083777
45-79-29102911,Saroj Pandey,09-08-1990,Ramesh Rijal,47-95-92-34870,979480412
04-98-65677055,Bimala Sapkota,30-10-1992,Suresh KC,85-77-25-88689,972162039
29-48-96135528,Asha Ghimire,29-12-1995,Prabin Gurung,99-51-35-67661,982135664
76-52-99448960,Maya Karki,24-07-1993,Pradeep Shrestha,27-19-78-29412,979178837
08-73-94613065,Santoshi Bajracharya,18-02-2003,Ram Adhikari,08-59-38-00005,983640154
01-18-22823990,Suren Regmi,21-04-1987,Milan Basnet,32-87-62-66325,973887179
59-94-50367738,Milan Chhetri,06-01-1983,Suren Acharya,60-61-40-16587,982049103
06-00-48462781,Narendra Thapa,14-01-1977,Prashant Khatri,86-18-19-72078,979004164
05-51-31279556,Namrata Neupane,22-04-1990,Ramesh Subedi,01-66-02-02434,972314223
98-62-99869272,Prabha Rai,14-11-1981,Ramesh Adhikari,79-03-77-84365,977251808
60-62-30967341,Sushila Sharma,14-07-1986,Kiran Neupane,66-42-04-00809,979877788
14-82-56757571,Ram Bajracharya,06-01-1983,Hari KC,21-78-93-94383,977115709
54-08-82133076,Roshani Poudel,20-05-1986,Ganesh Sharma,94-56-93-78435,986055624
01-18-22823990,Rekha Pandey,14-11-1981,Ramesh Devkota,59-79-73-38058,989765592
65-26-57686508,Sushila Timilsina,31-08-2006,Rajan Rijal,31-09-13-95240,974377650
99-06-65922759,Ramesh Acharya,05-11-1995,Bibek Subedi,48-51-58-60312,984727998
46-65-64961544,Sunil Chhetri,24-10-2006,Dipesh Bhattarai,56-69-80-35367,988906091
91-63-77938001,Kalpana Regmi,09-09-1998,Rajan Dhamala,54-38-92-70445,977376792
67-55-86528991,Naren Subedi,28-06-1992,Prashant Acharya,10-25-31-03645,989516905
86-82-27196580,Saroj Timilsina,15-11-2001,Ashok Panta,13-06-22-43980,984388791
09-34-99766195,Hari Adhikari,16-08-1974,Saroj Acharya,53-08-99-51079,983317467
08-93-31650747,Arjun Poudyal,24-07-1993,Ramesh Gurung,25-04-58-35995,974334431
59-27-15752028,Shiva Pandey,25-05-1973,Arjun Dhamala,30-09-55-16199,981156350
56-54-55607505,Bimala Dahal,26-09-1998,Bikash Poudel,62-03-27-45941,986237746
76-58-90008053,Pooja Khatri,26-09-1998,Bikash Panta,85-77-25-88689,987160457
71-01-92891286,Pratima Timilsina,26-03-2001,Ram Gurung,75-28-49-12294,975694070
69-05-37202079,Sunil Khatiwada,14-07-2004,Ashok Panta,25-18-42-95321,978406670
34-32-11927484,Sita Acharya,19-10-1984,Jitendra Poudyal,73-48-35-74584,973645581
46-65-64961544,Kusum Khatiwada,24-10-2006,Bishnu Khatiwada,56-69-80-35367,986363080
05-69-42862482,Prashant Gurung,14-07-1986,Niraj Poudel,57-53-58-66834,982344159
98-04-40884745,Roshani Ghimire,01-09-1987,Arjun Bhusal,34-38-88-26448,972611264
83-86-21393065,Sandeep Chhetri,31-12-1979,Ram Panta,47-95-92-34870,976848554
12-89-17511602,Naren Khatri,16-03-1973,Kiran Neupane,28-72-19-28096,982682518
80-36-75568928,Bina Neupane,13-06-1986,Niraj Gyawali,69-31-15-41748,983245302
79-35-51688807,Maheshwar Bista,09-12-1990,Ganesh Acharya,14-21-39-15620,978234938
86-82-27196580,Prashant Gurung,25-05-1973,Maheshwar Poudel,85-45-11-24486,976780170
75-97-59115198,Rekha Poudel,12-12-1976,Hari KC,01-66-02-02434,979587115
87-35-19374313,Asha Ghimire,28-12-1993,Arjun Pandey,86-89-69-26296,988762748
11-69-98962961,Suman Subedi,15-12-1982,Bibek Subedi,62-51-41-05199,975938286
38-02-51638737,Shiva Gyawali,06-09-1995,Bibek Bhandari,49-32-37-89589,982146642
16-36-42547599,Bijay Bista,01-01-1993,Ramesh Khatri,10-25-31-03645,971403688
30-84-29891985,Prabin Bista,14-07-1986,Maheshwar Panta,34-38-88-26448,979004164
00-94-18832623,Maya Shrestha,14-12-1987,Kiran Bhandari,51-11-23-74798,978808362
79-44-23264938,Sandeep Rijal,19-05-1992,Jitendra Pokhrel,82-59-18-52012,988164585
45-22-11780087,Jitendra Devkota,26-04-1985,Shiva Bajracharya,74-97-33-92175,976866352
46-65-36417017,Dipesh Tamang,15-06-1975,Bijay Acharya,56-53-74-31411,982344159
22-86-31410176,Sita Subedi,31-03-1982,Jitendra KC,82-27-04-82136,986151900
55-10-89147366,Susmita Karki,21-05-1986,Deepak Pokhrel,22-61-04-69504,971732308
26-46-38261970,Nisha Shrestha,14-07-1976,Maheshwar Neupane,64-81-24-87812,972149125
58-83-12568151,Jitendra Poudyal,14-07-1984,Suman Tamang,51-59-75-28907,982146642
68-40-18128869,Suresh Gyawali,15-06-1975,Rabin Sapkota,53-08-99-51079,989933757
80-47-81406760,Shova Aryal,13-10-1989,Bijay Subedi,86-40-85-55362,984539012
68-54-31177200,Santoshi Adhikari,07-05-1971,Niraj Adhikari,90-79-64-95105,972010634
40-40-72313631,Maya Poudel,18-02-1988,Krishna Neupane,97-80-89-46885,973243294
80-36-75568928,Bikash Aryal,21-12-1988,Milan Chhetri,54-63-03-60439,989584041
69-49-73129198,Pooja Ghimire,11-06-1984,Prabin Subedi,84-84-12-52189,973095234
26-85-91581968,Milan Chhetri,30-04-1992,Ramesh Thapa,34-38-88-26448,974334431
63-79-87126462,Sumitra Devkota,11-06-2000,Manish Dahal,48-51-58-60312,978387742
16-20-60904032,Deepak Bhandari,15-11-2001,Niraj Dahal,82-69-51-68275,982344159
96-96-73502273,Shiva Bhattarai,18-05-1975,Shyam Thapa,55-21-43-85559,974414183
10-93-26649255,Mina Adhikari,25-04-1983,Ramesh Tamang,12-04-41-87497,989166820
05-55-44016426,Prativa Aryal,11-09-2000,Prabin Subedi,52-51-75-72852,977376792
67-52-52615714,Niraj Bhandari,31-12-1979,Sunil Gurung,96-45-89-17201,971862202
23-00-49898672,Sarita Bhandari,26-09-1998,Suman Pandey,10-96-64-02516,989748455
99-06-65922759,Prashant Pokhrel,31-10-2006,Santosh Subedi,14-98-16-35602,984759585
57-21-60229087,Ganesh Sharma,14-07-1984,Prabin Bhandari,40-52-65-46612,985259959
75-48-48085063,Prashant Bhattarai,31-03-1982,Suman Pandey,66-42-04-00809,979587115
09-77-45758731,Santoshi Bhusal,01-05-1997,Rajan Rijal,69-65-37-10979,979819576
76-52-99448960,Lila Bhandari,20-08-2000,Ram Adhikari,45-62-27-29163,981156350
63-15-70370553,Sita Sapkota,11-09-2000,Dinesh Dhamala,07-77-83-37792,975938286
89-22-46292325,Milan Poudyal,03-03-1971,Suman Aryal,64-81-24-87812,975049829
63-08-83710343,Rupa Dahal,03-09-1976,Milan Sharma,05-90-34-24436,983777822
05-55-44016426,Jitendra KC,26-11-2003,Rabin Khatri,93-41-94-71104,982196415
56-54-81791066,Saroj Acharya,28-10-2003,Arjun Bhandari,71-50-82-61318,972149125
73-08-56729353,Rabin Pradhan,27-10-1981,Sandeep Magar,53-75-12-21582,972468533
37-74-98119021,Maya Pokhrel,02-09-2005,Shyam Thapa,61-96-18-81051,971336213
54-97-27937540,Santosh Thapa,29-03-1976,Hari Shrestha,90-32-75-93353,976229161
11-83-31251972,Asha Chhetri,21-11-1989,Deepak Aryal,05-15-10-61330,975049829
94-63-96060625,Susmita Regmi,29-05-1998,Dinesh Devkota,28-59-99-26823,981128727
15-49-52426134,Prabin Pradhan,29-10-1994,Narendra KC,44-87-50-48104,982325001
70-03-86290020,Pradeep Pradhan,25-06-1995,Bimal Rijal,90-76-54-70478,974404439
16-36-42547599,Shiva Rai,22-08-1988,Niraj Thapa,10-92-60-89587,986009003
56-52-42459639,Sarita Dahal,27-11-2001,Saroj Khatiwada,72-25-44-39182,978491782
34-04-89798609,Suresh Gyawali,29-10-1987,Kiran Bhusal,73-05-97-82858,983640154
62-70-76949345,Bijay Acharya,18-08-1972,Narendra Shrestha,56-94-83-07919,983361827
23-11-22655926,Sanjita Bista,22-01-1972,Bikash Basnet,82-67-26-21902,972433224
09-86-99777265,Sita Bhusal,28-09-1998,Sunil Bista,94-70-92-58902,979877788
78-36-74531001,Maheshwar Gurung,27-10-1985,Narendra Magar,67-83-00-58344,988336300
71-47-95996032,Laxmi Basnet,08-10-1990,Ganesh Basnet,70-43-38-90867,971165912
68-54-31177200,Rabin Poudyal,29-11-1988,Narendra Gyawali,72-72-30-33114,976445146
07-54-78933228,Mina Gyawali,15-05-1994,Anil Gurung,89-74-19-13176,978494646
83-69-81103096,Nisha Tamang,28-01-1997,Shyam Dahal,80-68-77-30324,971978986
24-85-38838188,Radha Ghimire,04-03-1979,Pawan Karki,36-46-55-39424,989113151
23-00-49898672,Sunita Aryal,14-01-1987,Rajan Dhamala,04-96-82-74663,974288313
42-92-61978137,Prabin Bhandari,02-09-2005,Bimal Poudel,49-42-44-99843,982028852
07-30-25020558,Radha Khatiwada,02-10-2002,Ganesh Basnet,88-25-16-14709,974325072
50-09-83468096,Pratima Khatri,26-05-2003,Ganesh Neupane,52-23-62-39694,976486048
46-83-45820583,Pratima Basnet,22-05-1999,Ram Adhikari,12-59-17-38504,985050602
14-88-74737803,Komal KC,15-12-1994,Sunil Timilsina,12-59-17-38504,975606310
38-98-13697620,Dinesh Dhamala,11-07-1972,Kiran Dhamala,60-61-40-16587,987160457
95-02-62148030,Bishnu Rijal,03-05-1999,Ramesh Khatri,73-05-97-82858,989516905
24-50-40525533,Kavita Subedi,21-07-1972,Anil Bhandari,09-65-59-91494,972368702
30-63-62573545,Santoshi Adhikari,19-01-1985,Saroj Pandey,45-59-92-27089,973153827
79-98-28545389,Sneha Panta,10-06-2005,Suren Dahal,85-77-25-88689,973614849
94-88-15798462,Sunil Dahal,05-09-2006,Arjun Shrestha,92-87-62-14038,983875677
14-82-56757571,Sandeep Magar,29-11-2003,Maheshwar Poudyal,26-46-41-82268,979096408
75-91-37703963,Asha Acharya,15-09-2003,Bibek Aryal,15-82-64-03965,985198535
79-10-41836032,Manish Poudel,07-05-1971,Niraj Poudel,97-49-67-16192,982325001
90-39-71763399,Dinesh Acharya,06-03-1977,Ramesh Tamang,49-77-35-50934,988555043
09-86-99777265,Kusum Khatri,18-07-2002,Bibek Khatri,31-30-15-81270,986475589
09-73-80063671,Radha Poudyal,29-05-1998,Hari Ghimire,85-22-11-06612,982196415
97-71-97783923,Manish Pandey,12-06-1980,Dinesh Karki,54-63-03-60439,986625680
45-55-76194642,Prabin Bista,28-04-2002,Hari Shrestha,47-44-07-71056,986804630
60-63-14001423,Kusum Gurung,08-01-2006,Arjun Bhandari,91-21-87-52571,982325001
24-88-30721713,Hari Pokhrel,06-08-2003,Shyam Thapa,30-09-55-16199,979244374
33-17-93859202,Prashant Pradhan,16-11-2002,Kiran Regmi,08-59-38-00005,971666379
82-57-25238041,Lila Bista,16-06-2003,Dinesh Karki,41-13-71-56245,974021358
02-73-15577699,Komal Regmi,14-11-1981,Suren Magar,69-31-15-41748,975824601
67-52-52615714,Ganesh Bista,05-04-1976,Rajan Bhattarai,98-67-56-95483,979306606
33-17-93859202,Bishnu Bhusal,09-01-1991,Shyam Thapa,95-41-23-13009,976848554
33-74-86553252,Suman Aryal,30-10-1992,Jitendra Karki,62-03-27-45941,982766682
