License_Number,Name,Blood_Group,Address,DOB,Father_Name,Citizenship_Number,Phone_Number,License_Category
01-06-97921955,Suresh Rai,AB-,"Itahari Sub-Metropolitan City-5, Sunsari",02/19/1994,Mahesh Acharya,27-01-78-88535,9721210136,C
01-06-18608381,Uttam Neupane,O-,"Pokhara Metropolitan City-4, Kaski",11/03/1989,Indira Rai,27-01-78-45769,9857936247,B
01-06-80703136,Raj Kumar Nepal,AB-,"Kathmandu Metropolitan City-1, Kathmandu",05/16/1982,Dhiraj Lama,27-01-78-60300,9265913404,C
01-06-41736227,Ravi Maharjan,A+,"Birgunj Metropolitan City-1, Parsa",07/16/1986,Hari Shrestha,27-01-78-43664,9643048417,A
01-06-47203438,Santosh Poudel,O-,"Lalitpur Metropolitan City-5, Lalitpur",09/07/1982,Maya Gurung,27-01-78-26150,9416159121,A
01-06-38582510,Sita Thakuri,A-,"Bharatpur Metropolitan City-5, Chitwan",10/16/1984,Ram Krishna Joshi,27-01-78-90802,9366381796,B
01-06-57518923,Anuradha Tamang,B-,"Dharan Sub-Metropolitan City-7, Sunsari",05/11/1984,Sandeep Aryal,27-01-78-81629,9812940216,B
01-06-94488751,Sumitra Thapa,AB+,"Dharan Sub-Metropolitan City-8, Sunsari",07/16/1998,Krishna Khatri,27-01-78-53223,9611619952,C
01-06-42044325,Govind Shrestha,AB+,"Nepalgunj Sub-Metropolitan City-8, Banke",11/02/1997,Sarita Baniya,27-01-78-93813,9126345053,C
01-06-32068860,Suresh Rai,O-,"Butwal Sub-Metropolitan City-8, Rupandehi",12/25/1980,Sabita Thapa,27-01-78-29307,9113287492,B
01-06-84371346,Prakash Bista,O+,"Dhangadhi Sub-Metropolitan City-8, Kailali",09/13/1982,Shanti Maharjan,27-01-78-15656,9842410112,A
01-06-85154442,Krishna Khatri,B+,"Dhangadhi Sub-Metropolitan City-4, Kailali",08/14/1998,Arun Shakya,27-01-78-20169,9758118540,B
01-06-15470631,Ravi Bhattarai,AB-,"Birgunj Metropolitan City-6, Parsa",11/01/1987,Samita Shrestha,27-01-78-93871,9564399507,C
01-06-75932019,Rajesh Lama,O-,"Itahari Sub-Metropolitan City-3, Sunsari",10/25/2000,Surendra Maharjan,27-01-78-26980,9502723799,B
01-06-24635807,Mina Thapa,O+,"Itahari Sub-Metropolitan City-1, Sunsari",03/14/1991,Asha Rai,27-01-78-35472,9342204946,C
01-06-58450768,Govind Shrestha,B+,"Kathmandu Metropolitan City-10, Kathmandu",06/01/1991,Reena Maharjan,27-01-78-30163,9215894583,A
01-06-95068240,Deepak Tamang,AB+,"Kathmandu Metropolitan City-4, Kathmandu",12/04/1986,Mahesh Acharya,27-01-78-26997,9121301974,A
01-06-13343790,Asha Rai,AB-,"Hetauda Sub-Metropolitan City-3, Makwanpur",05/21/1983,Pradeep Shrestha,27-01-78-50882,9329235566,B
01-06-64894030,Maheshwari Khatri,O+,"Dharan Sub-Metropolitan City-3, Sunsari",10/28/1994,Sushma KC,27-01-78-64221,9912679875,A
01-06-44536022,Rajesh Rana,B-,"Dhangadhi Sub-Metropolitan City-7, Kailali",04/18/1990,Rekha Maharjan,27-01-78-48618,9215990042,B
01-06-50193079,Anisha Thakuri,AB+,"Dharan Sub-Metropolitan City-5, Sunsari",01/08/1996,Anita Gurung,27-01-78-21032,9316490172,B
01-06-59464844,Rekha Koirala,O-,"Nepalgunj Sub-Metropolitan City-1, Banke",10/03/1983,Sunita Dhungana,27-01-78-89644,9817185102,A
01-06-51179898,Shyam Adhikari,A+,"Butwal Sub-Metropolitan City-1, Rupandehi",03/26/1982,Ram Krishna Joshi,27-01-78-72743,9998011818,A
01-06-98397072,Kabita Aryal,B+,"Bharatpur Metropolitan City-5, Chitwan",10/12/1989,Rita Magar,27-01-78-44509,9173006930,B
01-06-94090549,Bipin Paudel,AB+,"Itahari Sub-Metropolitan City-1, Sunsari",04/11/1982,Indira Rai,27-01-78-82857,9329502550,C
01-06-81013013,Amit Giri,AB-,"Butwal Sub-Metropolitan City-4, Rupandehi",11/02/1995,Kavita Basnet,27-01-78-36591,9498264451,C
01-06-95042376,Sumitra Thapa,B-,"Kathmandu Metropolitan City-11, Kathmandu",01/12/1996,Hari Shrestha,27-01-78-15818,9674728588,A
01-06-37146954,Sanjay Shakya,O-,"Butwal Sub-Metropolitan City-7, Rupandehi",02/11/1999,Santosh Karki,27-01-78-86466,9897153322,A
01-06-65260928,Arjun Shrestha,O-,"Birgunj Metropolitan City-4, Parsa",03/06/1998,Ashish Shah,27-01-78-67317,9539668383,B
01-06-86134343,Indira Rai,B+,"Bharatpur Metropolitan City-1, Chitwan",01/21/1999,Amit Giri,27-01-78-92550,9437691726,C
01-06-53989526,Devi Subedi,B-,"Butwal Sub-Metropolitan City-5, Rupandehi",12/19/1981,Anjali Sharma,27-01-78-14851,9608674404,C
01-06-35873517,Sita Thakuri,AB-,"Hetauda Sub-Metropolitan City-3, Makwanpur",12/11/1986,Nabin Shrestha,27-01-78-16502,9759965509,C
01-06-62361655,Anita Shrestha,A+,"Butwal Sub-Metropolitan City-3, Rupandehi",10/24/2000,Rupa Gautam,27-01-78-32293,9794245640,B
01-06-60770595,Madhu Khadka,AB-,"Nepalgunj Sub-Metropolitan City-4, Banke",09/13/1985,Bikash Rijal,27-01-78-15179,9948145887,C
01-06-51121439,Lok Bahadur Gurung,O+,"Kathmandu Metropolitan City-5, Kathmandu",10/03/1981,Anjali Sharma,27-01-78-26440,9120232014,A
01-06-46728135,Rekha Maharjan,AB+,"Itahari Sub-Metropolitan City-4, Sunsari",07/25/1984,Manoj Khadka,27-01-78-56262,9783476225,B
01-06-72226628,Rekha Maharjan,O-,"Kathmandu Metropolitan City-4, Kathmandu",05/24/1990,Santosh Karki,27-01-78-53838,9716865641,A
01-06-94180348,Babita Shrestha,B-,"Birgunj Metropolitan City-4, Parsa",02/08/1999,Kamala Karki,27-01-78-34236,9902649291,B
01-06-67434459,Bhim Gurung,B-,"Bharatpur Metropolitan City-1, Chitwan",09/28/1999,Reena Maharjan,27-01-78-99765,9459007360,C
01-06-50929024,Mahesh Acharya,AB+,"Birgunj Metropolitan City-3, Parsa",05/18/1985,Sunita Dhungana,27-01-78-91396,9457017645,C
01-06-49310956,Babita Shrestha,A-,"Butwal Sub-Metropolitan City-2, Rupandehi",12/14/1980,Samita Shrestha,27-01-78-70766,9965656394,B
01-06-57509559,Raj Kumar Nepal,A+,"Butwal Sub-Metropolitan City-7, Rupandehi",02/24/1990,Basant Bhandari,27-01-78-95229,9837410516,A
01-06-22795575,Sumitra Thapa,O+,"Dharan Sub-Metropolitan City-6, Sunsari",02/10/1998,Nirmala Shrestha,27-01-78-29920,9636725538,B
01-06-82043729,Shanti Maharjan,AB+,"Biratnagar Metropolitan City-1, Morang",10/19/2000,Amit Giri,27-01-78-20845,9422147995,B
