License_Number,Name,Blood_Group,Address,DOB,Father_Name,Citizenship_Number,Phone_Number,License_Category
01-06-62322923,Ravi Bhattarai,A-,"Bharatpur Metropolitan City-2, Chitwan",06/12/1993,Rita Magar,27-01-78-32350,9278137957,B
01-06-74471293,Bikash Rijal,A-,"Butwal Sub-Metropolitan City-5, Rupandehi",02/18/1996,Binod Shrestha,27-01-78-19996,9687059344,B
01-06-49251450,Madhu Khadka,A-,"Kathmandu Metropolitan City-7, Kathmandu",12/16/1990,Rajesh Lama,27-01-78-37649,9413612324,A
01-06-20304097,Amit Giri,B+,"Lalitpur Metropolitan City-1, Lalitpur",08/15/1998,Anjali Sharma,27-01-78-64520,9407887370,C
01-06-76212226,Kabita Aryal,AB+,"Nepalgunj Sub-Metropolitan City-3, Banke",10/26/1995,Meena Subedi,27-01-78-53775,9841609457,C
01-06-61679326,Ravi Maharjan,AB+,"Pokhara Metropolitan City-6, Kaski",10/20/1995,Anita Maharjan,27-01-78-93211,9453491982,A
01-06-23099659,Kavita Basnet,O-,"Pokhara Metropolitan City-8, Kaski",05/18/1997,Sanjay Shakya,27-01-78-90178,9909254424,A
01-06-57614680,Dinesh Joshi,AB-,"Hetauda Sub-Metropolitan City-5, Makwanpur",02/06/1998,Basant Bhandari,27-01-78-50360,9943115124,A
01-06-66181122,Vimala Pokharel,O-,"Lalitpur Metropolitan City-6, Lalitpur",05/27/1995,Sagar Gurung,27-01-78-86188,9606562412,B
01-06-73643676,Sushma KC,AB+,"Hetauda Sub-Metropolitan City-7, Makwanpur",04/04/1984,Dinesh Joshi,27-01-78-74225,9349175278,C
01-06-35282957,Maya Gurung,B+,"Hetauda Sub-Metropolitan City-4, Makwanpur",09/17/1982,Basant Bhandari,27-01-78-14591,9713971220,A
01-06-63508771,Rishi Gautam,B+,"Bharatpur Metropolitan City-8, Chitwan",01/18/1996,Sabita Thapa,27-01-78-40731,9690045418,A
01-06-55984432,Niroj Acharya,B+,"Itahari Sub-Metropolitan City-3, Sunsari",02/27/1988,Ramesh Lama,27-01-78-63565,9483992192,A
01-06-89628298,Dinesh Joshi,B-,"Pokhara Metropolitan City-3, Kaski",02/17/1981,Dinesh Joshi,27-01-78-76965,9765579414,B
01-06-75802477,Anjali Sharma,AB+,"Itahari Sub-Metropolitan City-3, Sunsari",12/12/2000,Laxmi Gautam,27-01-78-24943,9308999043,A
01-06-43275891,Ravi Maharjan,A+,"Nepalgunj Sub-Metropolitan City-3, Banke",12/13/1985,Manoj Khadka,27-01-78-48463,9612084940,A
01-06-57787643,Ravi Bhattarai,O+,"Dharan Sub-Metropolitan City-8, Sunsari",01/10/1984,Bishal Ghimire,27-01-78-38019,9768952692,A
01-06-61925806,Anita Gurung,AB-,"Birgunj Metropolitan City-4, Parsa",05/18/1998,Bipin Paudel,27-01-78-62085,9710484234,C
01-06-33378306,Kabita Aryal,A-,"Kathmandu Metropolitan City-12, Kathmandu",06/15/1983,Sabin Shrestha,27-01-78-35090,9977718233,A
01-06-26136519,Rajesh Rana,B+,"Birgunj Metropolitan City-3, Parsa",04/12/1994,Sabita Thapa,27-01-78-49059,9276349964,A
01-06-65409355,Binod Shrestha,O-,"Biratnagar Metropolitan City-8, Morang",05/04/1990,Anuradha Tamang,27-01-78-14403,9489824843,C
01-06-44467212,Rishi Gautam,B+,"Lalitpur Metropolitan City-2, Lalitpur",11/09/1985,Asha Rai,27-01-78-99458,9466448992,B
01-06-81256583,Sandeep Aryal,AB-,"Dharan Sub-Metropolitan City-4, Sunsari",05/19/1980,Reena Maharjan,27-01-78-89460,9607721614,A
01-06-79317808,Pradeep Shrestha,A+,"Biratnagar Metropolitan City-6, Morang",03/10/2000,Uttam Neupane,27-01-78-37536,9453647114,C
01-06-37248417,Dhiraj Lama,O-,"Butwal Sub-Metropolitan City-5, Rupandehi",07/11/1982,Anita Gurung,27-01-78-46447,9859850720,C
01-06-39108189,Niroj Acharya,O+,"Kathmandu Metropolitan City-11, Kathmandu",07/20/1992,Sita Thakuri,27-01-78-86494,9698855999,B
01-06-34073814,Reena Maharjan,AB-,"Kathmandu Metropolitan City-2, Kathmandu",12/04/2000,Ravi Bhattarai,27-01-78-59572,9387394093,C
01-06-73941858,Pramila Bhandari,B+,"Biratnagar Metropolitan City-6, Morang",09/08/1996,Anju Kunwar,27-01-78-51930,9367273784,C
01-06-64668050,Sangeeta Aryal,O-,"Pokhara Metropolitan City-8, Kaski",02/14/2000,Sarita Baniya,27-01-78-17861,9884451628,A
01-06-15343902,Kabita Aryal,AB-,"Butwal Sub-Metropolitan City-8, Rupandehi",02/16/2000,Maya Gurung,27-01-78-38274,9108657890,B
01-06-92391110,Madhu Khadka,A+,"Dhangadhi Sub-Metropolitan City-6, Kailali",04/15/1991,Ramesh Shrestha,27-01-78-66003,9255597536,B
01-06-78195215,Meena Subedi,A-,"Lalitpur Metropolitan City-5, Lalitpur",12/21/1997,Hari Shrestha,27-01-78-36462,9378161358,C
01-06-90761767,Rekha Maharjan,O+,"Nepalgunj Sub-Metropolitan City-4, Banke",06/21/1994,Rajesh Lama,27-01-78-90968,9695556779,A
01-06-60520547,Surendra Maharjan,AB-,"Kathmandu Metropolitan City-3, Kathmandu",11/16/1990,Devi Subedi,27-01-78-39544,9440356801,B
01-06-60337002,Rekha Koirala,O-,"Bharatpur Metropolitan City-1, Chitwan",08/19/1983,Shyam Adhikari,27-01-78-33321,9763804862,A
01-06-84447559,Manju Adhikari,B+,"Kathmandu Metropolitan City-10, Kathmandu",09/14/1993,Narayan Bhandari,27-01-78-40130,9324543518,C
01-06-34068640,Ram Krishna Joshi,AB+,"Kathmandu Metropolitan City-8, Kathmandu",10/23/1983,Mahesh Acharya,27-01-78-47087,9799401872,A
01-06-54749818,Uttam Neupane,B+,"Pokhara Metropolitan City-3, Kaski",07/11/1999,Niroj Acharya,27-01-78-46431,9562414047,B
01-06-74775227,Manju Adhikari,O+,"Hetauda Sub-Metropolitan City-3, Makwanpur",07/15/1998,Niroj Acharya,27-01-78-94932,9434278611,C
01-06-56269198,Rekha Koirala,B+,"Lalitpur Metropolitan City-1, Lalitpur",05/27/1980,Manoj Shah,27-01-78-27355,9408053002,B
01-06-83624580,Ramesh Lama,AB-,"Dharan Sub-Metropolitan City-1, Sunsari",10/05/1981,Deepak Tamang,27-01-78-65385,9340521222,B
01-06-94351337,Sarita Baniya,AB+,"Biratnagar Metropolitan City-6, Morang",11/10/1989,Sushma KC,27-01-78-98682,9775753431,C
01-06-97232859,Samita Shrestha,B+,"Biratnagar Metropolitan City-2, Morang",02/04/1992,Narayan Bhandari,27-01-78-47577,9265245655,C
01-06-67496547,Reena Maharjan,A-,"Kathmandu Metropolitan City-10, Kathmandu",11/07/1985,Ramesh Lama,27-01-78-99036,9435283819,B
01-06-25796130,Ramesh Shrestha,O+,"Birgunj Metropolitan City-6, Parsa",11/03/1983,Devi Subedi,27-01-78-73316,9918841466,C
01-06-50470254,Bikash Rijal,O-,"Kathmandu Metropolitan City-9, Kathmandu",10/13/1981,Anita Shrestha,27-01-78-68192,9256103229,C
01-06-10903320,Samita Shrestha,AB-,"Birgunj Metropolitan City-4, Parsa",07/17/1996,Rameshwor Maharjan,27-01-78-27900,9571154819,C
01-06-77450952,Suresh Rai,B+,"Itahari Sub-Metropolitan City-5, Sunsari",03/25/1996,Manoj Khadka,27-01-78-75938,9270889433,A
01-06-68833752,Bikash Rijal,B-,"Butwal Sub-Metropolitan City-8, Rupandehi",01/23/1984,Gita Shrestha,27-01-78-23410,9596719207,C
01-06-58723731,Nirmala Shrestha,A+,"Dharan Sub-Metropolitan City-4, Sunsari",07/05/1996,Krishna Khatri,27-01-78-99198,9469080979,B
01-06-30928902,Ram Krishna Joshi,O-,"Dhangadhi Sub-Metropolitan City-4, Kailali",05/02/1999,Santosh Karki,27-01-78-77020,9560225356,B
01-06-94085123,Rita Magar,B+,"Birgunj Metropolitan City-3, Parsa",10/15/1991,Nirmala Shrestha,27-01-78-62135,9275694161,A
01-06-29508993,Santosh Karki,AB+,"Itahari Sub-Metropolitan City-2, Sunsari",06/28/1980,Pradeep Shrestha,27-01-78-64822,9716353546,A
01-06-29922603,Kamala Karki,AB-,"Butwal Sub-Metropolitan City-5, Rupandehi",10/19/1991,Prakash Bista,27-01-78-12291,9189079706,B
01-06-81177785,Ashok Adhikari,B-,"Dhangadhi Sub-Metropolitan City-7, Kailali",09/14/1983,Maheshwari Khatri,27-01-78-62418,9924038133,A
01-06-45156849,Preeti Dhakal,AB-,"Lalitpur Metropolitan City-2, Lalitpur",02/08/1989,Rameshwor Maharjan,27-01-78-75492,9283253018,B
01-06-84708265,Santosh Karki,A-,"Hetauda Sub-Metropolitan City-6, Makwanpur",09/03/1994,Nirmala Shrestha,27-01-78-30087,9657581328,C
01-06-26012872,Hari Shrestha,O-,"Bharatpur Metropolitan City-3, Chitwan",05/03/1989,Sarita Baniya,27-01-78-93448,9179320146,B
01-06-28496609,Naresh Thapa,AB-,"Kathmandu Metropolitan City-9, Kathmandu",10/12/1997,Basant Bhandari,27-01-78-24794,9648084564,C
01-06-53946213,Deepak Tamang,A-,"Bharatpur Metropolitan City-7, Chitwan",04/02/1997,Rameshwor Maharjan,27-01-78-93373,9761794874,C
01-06-76454248,Reena Maharjan,B+,"Nepalgunj Sub-Metropolitan City-5, Banke",04/15/1993,Laxmi Gautam,27-01-78-82625,9780335454,A
01-06-76204610,Mahesh Acharya,O-,"Pokhara Metropolitan City-2, Kaski",05/25/1981,Ram Krishna Joshi,27-01-78-60508,9303431665,A
01-06-20164160,Binod Shrestha,O+,"Biratnagar Metropolitan City-7, Morang",01/06/1996,Suresh Rai,27-01-78-48941,9521629865,B
01-06-71212106,Rupa Gautam,A-,"Dhangadhi Sub-Metropolitan City-8, Kailali",01/23/1985,Rupa Gautam,27-01-78-29073,9169886072,A
01-06-87015728,Babita Shrestha,O-,"Kathmandu Metropolitan City-8, Kathmandu",10/02/1993,Vimala Pokharel,27-01-78-44527,9241677241,C
01-06-60606783,Deepak Tamang,O+,"Bharatpur Metropolitan City-8, Chitwan",09/17/1994,Govind Shrestha,27-01-78-24899,9175705898,B
01-06-84110728,Sangeeta Aryal,A-,"Dhangadhi Sub-Metropolitan City-7, Kailali",11/10/2000,Anita Gurung,27-01-78-49315,9694927731,A
01-06-32226012,Anju Kunwar,A-,"Biratnagar Metropolitan City-4, Morang",02/27/1991,Santosh Karki,27-01-78-12971,9796222796,A
01-06-94052204,Raj Kumar Nepal,AB+,"Itahari Sub-Metropolitan City-4, Sunsari",01/22/1992,Shanti Maharjan,27-01-78-29059,9420200540,A
01-06-76120714,Dinesh Joshi,B+,"Nepalgunj Sub-Metropolitan City-8, Banke",10/01/1999,Bikash Rijal,27-01-78-31304,9804391844,C
01-06-79697529,Ashish Shah,AB-,"Hetauda Sub-Metropolitan City-3, Makwanpur",07/27/1999,Arjun Shrestha,27-01-78-30089,9745772466,B
01-06-54850381,Sarojini Maharjan,A+,"Dharan Sub-Metropolitan City-7, Sunsari",11/22/1999,Arun Shakya,27-01-78-31804,9137256868,B
01-06-83937484,Maya Gurung,AB-,"Nepalgunj Sub-Metropolitan City-4, Banke",03/19/1996,Anuradha Tamang,27-01-78-99240,9434250817,A
01-06-73515971,Kamala Karki,B-,"Biratnagar Metropolitan City-8, Morang",10/10/2000,Dinesh Joshi,27-01-78-48041,9393222639,B
